Date,Country,Geography,Labour force characteristics,Sex,Age group,Statistics,Data type,UOM,SCALAR_FACTOR,Value
2015-12,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4350.5
2016-01,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4347.2
2016-02,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4344.7
2016-03,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4343.0
2016-04,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4342.1
2016-05,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4340.8
2016-06,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4340.9
2016-07,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4344.5
2016-08,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4349.3
2016-09,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4352.7
2016-10,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4355.8
2016-11,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4358.6
2016-12,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4361.3
2017-01,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4365.3
2017-02,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4368.4
2017-03,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4372.2
2017-04,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4375.9
2017-05,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4380.4
2017-06,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4384.2
2017-07,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4388.1
2017-08,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4393.7
2017-09,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4397.9
2017-10,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4401.7
2017-11,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4405.4
2017-12,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4409.0
2018-01,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4414.4
2018-02,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4418.1
2018-03,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4422.5
2018-04,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4428.0
2018-05,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4432.2
2018-06,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4436.5
2018-07,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4442.6
2018-08,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4446.9
2018-09,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4451.2
2018-10,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4455.2
2018-11,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4458.8
2018-12,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4462.2
2019-01,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4466.4
2019-02,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4469.2
2019-03,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4472.8
2019-04,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4477.4
2019-05,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4481.5
2019-06,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4485.8
2019-07,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4489.5
2019-08,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4490.1
2019-09,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4490.8
2019-10,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4490.8
2019-11,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4490.3
2019-12,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4489.3
2020-01,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4487.5
2020-02,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4486.5
2020-03,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4484.8
2020-04,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4482.3
2020-05,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4479.6
2020-06,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4477.8
2020-07,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4477.4
2020-08,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4477.9
2020-09,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4478.5
2020-10,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4479.0
2020-11,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4479.2
2020-12,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4476.2
2021-01,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4471.5
2021-02,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4468.4
2021-03,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4464.6
2021-04,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4460.6
2021-05,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4456.2
2021-06,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4450.3
2021-07,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4448.6
2021-08,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4447.8
2021-09,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4448.1
2021-10,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4449.3
2021-11,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4450.2
2021-12,Canada,Canada,Population,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,4454.5
2013-01,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2875.4
2013-02,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2888.0
2013-03,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2889.4
2013-04,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2874.9
2013-05,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2880.2
2013-06,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2902.1
2013-07,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2872.8
2013-08,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2880.2
2013-09,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2847.8
2013-10,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2862.8
2013-11,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2848.8
2013-12,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2860.4
2014-01,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2843.1
2014-02,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2843.5
2014-03,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2851.4
2014-04,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2841.7
2014-05,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2858.5
2014-06,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2851.0
2014-07,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2868.5
2014-08,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2856.1
2014-09,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2913.3
2014-10,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2877.7
2014-11,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2878.2
2014-12,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2882.4
2015-01,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2861.7
2015-02,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2871.6
2015-03,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2858.8
2015-04,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2868.4
2015-05,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2858.9
2015-06,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2829.3
2015-07,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2841.8
2015-08,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2835.9
2015-09,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2831.1
2015-10,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2820.0
2015-11,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2788.0
2015-12,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2793.7
2016-01,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2796.9
2016-02,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2801.8
2016-03,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2799.2
2016-04,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2806.7
2016-05,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2761.2
2016-06,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2769.5
2016-07,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2769.4
2016-08,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2792.2
2016-09,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2811.0
2016-10,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2819.2
2016-11,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2815.3
2016-12,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2828.3
2017-01,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2839.6
2017-02,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2815.9
2017-03,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2820.9
2017-04,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2807.6
2017-05,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2844.9
2017-06,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2830.4
2017-07,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2825.3
2017-08,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2805.5
2017-09,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2798.5
2017-10,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2846.1
2017-11,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2872.9
2017-12,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2860.4
2018-01,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2845.3
2018-02,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2842.9
2018-03,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2860.6
2018-04,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2843.7
2018-05,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2853.3
2018-06,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2875.0
2018-07,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2871.5
2018-08,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2854.7
2018-09,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2857.7
2018-10,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2825.7
2018-11,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2836.3
2018-12,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2832.9
2019-01,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2889.4
2019-02,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2905.3
2019-03,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2889.2
2019-04,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2926.7
2019-05,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2896.8
2019-06,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2907.4
2019-07,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2905.8
2019-08,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2937.5
2019-09,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2918.0
2019-10,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2920.4
2019-11,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2910.8
2019-12,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2918.9
2020-01,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2888.5
2020-02,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2912.8
2020-03,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2643.6
2020-04,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2350.0
2020-05,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2472.0
2020-06,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2742.5
2020-07,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2851.2
2020-08,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2871.8
2020-09,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2881.2
2020-10,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2896.9
2020-11,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2864.9
2020-12,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2854.1
2021-01,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2768.8
2021-02,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2819.3
2021-03,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2843.7
2021-04,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2788.9
2021-05,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2748.7
2021-06,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2832.1
2021-07,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2878.8
2021-08,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2896.6
2021-09,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2901.0
2021-10,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2874.8
2021-11,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2884.7
2021-12,Canada,Canada,Labour force,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2935.7
2013-01,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2495.6
2013-02,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2504.7
2013-03,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2482.2
2013-04,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2475.4
2013-05,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2494.8
2013-06,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2501.0
2013-07,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2478.5
2013-08,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2486.3
2013-09,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2483.8
2013-10,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2479.5
2013-11,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2462.0
2013-12,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2467.5
2014-01,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2458.6
2014-02,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2461.8
2014-03,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2472.1
2014-04,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2463.9
2014-05,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2480.4
2014-06,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2473.7
2014-07,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2498.3
2014-08,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2482.4
2014-09,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2511.3
2014-10,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2519.1
2014-11,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2508.9
2014-12,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2501.0
2015-01,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2504.2
2015-02,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2498.3
2015-03,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2496.6
2015-04,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2482.2
2015-05,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2492.7
2015-06,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2474.6
2015-07,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2474.7
2015-08,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2469.9
2015-09,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2459.3
2015-10,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2455.9
2015-11,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2445.1
2015-12,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2436.1
2016-01,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2443.5
2016-02,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2439.8
2016-03,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2437.5
2016-04,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2442.2
2016-05,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2400.6
2016-06,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2420.4
2016-07,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2398.4
2016-08,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2435.2
2016-09,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2441.7
2016-10,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2463.6
2016-11,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2455.3
2016-12,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2471.6
2017-01,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2473.1
2017-02,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2470.4
2017-03,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2469.9
2017-04,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2483.7
2017-05,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2508.1
2017-06,Canada,Canada,Employment,Both sexes,15 to 24 years,Estimate,Seasonally adjusted,Persons,thousands,2502.9
